Protocolo;data;hora;natureza;situacao;bairro;endereco;numero;detalhe_endereco_acidente;bairro_cruzamento;num_semaforo;sentido_via;tipo;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais;acidente_verificado;tempo_clima;situacao_semaforo;sinalizacao;condicao_via;conservacao_via;ponto_controle;situacao_placa;velocidade_max_via;mao_direcao;divisao_via1;divisao_via2;divisao_via3
202200001;01/01/2022;;COM VÍTIMA;FINALIZADA;JORDÃO;AV MARIA IRENE;130;;JORDÃO;;SUBURBIO;COLISÃO FRONTAL;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Não existente;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Não existe;;
202200007;01/01/2022;;SEM VÍTIMA;FINALIZADA;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;;;IMBIRIBEIRA;471;CIDADE;COLISÃO TRASEIRA;2;0;0;0;0;0;0;0;0;0;0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;;Dupla;Canteiro central;;
202200025;01/01/2022;;COM VÍTIMA;CANCELADA;CAXANGÁ;AV CAXANGA;;;CAXANGÁ;;;COLISÃO TRASEIRA;1;1;0;0;0;0;0;0;0;2;0;;;;;;;;;;;;;
202200029;01/01/2022;;COM VÍTIMA;CANCELADA;JOANA BEZERRA;AV GOVERNADOR AGAMENON MAGALHAES;;;JOANA BEZERRA;;;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;
202200082;02/01/2022;;COM VÍTIMA;FINALIZADA;AFLITOS;RUA MANUEL DE CARVALHO;432;RUA CARNEIRO VILELA;AFLITOS;;SUBURBIO;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Cruzamento;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;;"Placas ""Pare""";;Única;Faixa contínua;;
202200085;02/01/2022;;COM VÍTIMA;FINALIZADA;TAMARINEIRA;AV NORTE MIGUEL ARRAES DE ALENCAR;;RUA CONEGO BARATA;TAMARINEIRA;62;SUBURBIO;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;;;;;
202200086;02/01/2022;;COM VÍTIMA;FINALIZADA;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;841;;IMBIRIBEIRA;;CIDADE;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Chuvoso;;Perfeito estado;Molhada;Perfeito estado;Outros;;40 km/h;;;;
202200107;03/01/2022;;SEM VÍTIMA;FINALIZADA;VASCO DA GAMA;RUA NORDESTE;109;;VASCO DA GAMA;;CIDADE;CAPOTAMENTO;0;0;0;0;0;1;0;0;0;0;0;;Chuvoso;Não existe;Não existente;Molhada;Perfeito estado;Não existe;Não há placas;;Dupla;Não existe;;
202200139;03/01/2022;;SEM VÍTIMA;FINALIZADA;TAMARINEIRA;RUA CONEGO BARATA;410;;TAMARINEIRA;;SUBURBIO;;1;0;0;0;0;0;0;1;0;0;0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;;;Dupla;Faixa seccionada;Canteiro central;
202200154;03/01/2022;;COM VÍTIMA;CANCELADA;CAXANGÁ;AV CAXANGA;;;CAXANGÁ;;CAMARAGIBE;COLISÃO LATERAL;1;0;0;1;0;0;0;0;0;1;0;;;;;;;;;;;;;
202200165;04/01/2022;;COM VÍTIMA;FINALIZADA;ARRUDA;AV BEBERIBE;1253;RUA DAS MOCAS;ARRUDA;;CIDADE;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Cruzamento;Chuvoso;Não existe;Perfeito estado;Molhada;Perfeito estado;Outros;Outras;;Dupla;Faixa contínua;;
202200176;04/01/2022;;COM VÍTIMA;FINALIZADA;APIPUCOS;RUA DE APIPUCOS;;RUA CORONEL JOAO BATISTA DO REGO BARROS;APIPUCOS;540;SUBURBIO;COLISÃO TRANSVERSAL;1;1;0;0;0;0;0;0;0;1;0;Cruzamento;Chuvoso;Sem defeito;Perfeito estado;Molhada;Perfeito estado;Faixa de pedestre;Não há placas;;Dupla;Faixa contínua;;
202200178;04/01/2022;;COM VÍTIMA;FINALIZADA;GRAÇAS;AV RUI BARBOSA;1473;;GRAÇAS;;CIDADE;ATROPELAMENTO DE PESSOA;1;0;0;0;1;0;0;0;0;1;0;Longo da via;Chuvoso;Não existe;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;60 km/h;Única;Faixa seccionada;;
202200179;04/01/2022;;COM VÍTIMA;FINALIZADA;ARRUDA;AV BEBERIBE;1020;;ARRUDA;;CIDADE;COLISÃO TRANSVERSAL;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;R-6a;60 km/h;Dupla;Faixa contínua;;
202200186;04/01/2022;;COM VÍTIMA;CANCELADA;BOA VIAGEM;AV ENGENHEIRO DOMINGOS FERREIRA;2200;;BOA VIAGEM;;;COLISÃO TRASEIRA;3;0;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;
